Image,Strain (Unitless),Stress (MPa)
0,0,0
1,0.084245535,4.120494464
2,0.169196512,4.681502816
3,0.253300992,4.787893963
4,0.338110915,4.90410569
5,0.422779783,5.06369234
6,0.507448651,5.190543307
7,0.59183524,5.323941327
8,0.676221999,5.365679348
9,0.761172976,5.399233414
10,0.845841844,5.45406582
11,0.930087379,5.49498546
12,1.014756247,5.598102941
13,1.099707393,5.668075617
14,1.183952928,5.73641139
15,1.268762851,5.820705954
16,1.353008385,5.883722177
17,1.437818477,6.015074312
18,1.522487345,6.20371386
19,1.607014989,6.377213137
20,1.691542803,6.582220597
21,1.776211671,6.783136148
22,1.860880539,7.063844954
23,1.945408352,7.268443152
24,2.030218275,7.492273668
25,2.114604864,7.812265351
26,2.199414956,8.163143223
27,2.283801545,8.50604987
28,2.368329189,8.903788924
29,2.452857003,9.300709457
30,2.537384816,9.672259881
31,2.62191246,10.10764505
32,2.706863607,10.53484612
33,2.791250196,10.97841524
34,2.876060288,11.49400279
35,2.960446877,12.07915389
36,3.044833467,12.62420359
37,3.129502335,13.17170857
38,3.214171203,13.73476295
39,3.299122349,13.78468493
40,3.383367884,14.17178418
41,3.468319031,0.072313214
42,3.552423341,0.006841771
